id	length
ADAM7	4483
ADAM7-AS1	1341
ADAM7-AS2	1267
ADAM8	4763
ADAM9	17704
ADAMDEC1	2438
ADAMTS1	7303
ADAMTS10	5705
ADAMTS12	9605
ADAMTS13	5708
ADAMTS14	5566
ADAMTS15	6006
ADAMTS16	5863
ADAMTS16-DT	6878
ADAMTS17	8390
ADAMTS18	6598
ADAMTS19	5392
ADAMTS19-AS1	3314
ADAMTS2	8965
ADAMTS20	7464
ADAMTS3	7007
ADAMTS4	10338
ADAMTS5	9765
ADAMTS6	8565
ADAMTS7	7760
ADAMTS7P1	4875
ADAMTS7P3	3758
ADAMTS7P4	5602
ADAMTS8	4141
ADAMTS9	10680
ADAMTS9-AS1	7003
ADAMTS9-AS2	11126
ADAMTSL1	13446
ADAMTSL2	4677
ADAMTSL3	9752
ADAMTSL4	6432
ADAMTSL4-AS1	1914
ADAMTSL4-AS2	665
ADAMTSL5	3621
ADAP1	5063
ADAP2	3750
ADAR	12242
ADARB1	10049
ADARB2	10567
ADARB2-AS1	1234
ADAT1	6118
ADAT2	7197
ADAT3	2216
ADCK1	5293
ADCK2	3110
ADCK5	2742
ADCY1	13966
ADCY10	6141
ADCY10P1	5804
ADCY2	17608
ADCY3	6456
ADCY4	8067
ADCY5	9218
ADCY6	8462
ADCY6-DT	554
ADCY7	8595
ADCY8	4444
ADCY9	10613
ADCYAP1	3877
ADCYAP1R1	6985
ADD1	13240
ADD2	12673
ADD3	6539
ADD3-AS1	9085
ADGB	7771
ADGB-DT	2190
ADGRA1	4357
ADGRA1-AS1	5419
ADGRA2	7084
ADGRA3	9261
ADGRA3P1	3423
ADGRB1	7356
ADGRB2	7756
ADGRB3	7635
ADGRB3-DT	6233
ADGRD1	14718
ADGRD1-AS1	1277
ADGRD2	5735
ADGRE1	3707
ADGRE2	8642
ADGRE3	2837
ADGRE4P	3321
ADGRE5	5382
ADGRF1	12383
ADGRF2	2852
ADGRF3	5761
ADGRF4	3391
ADGRF5	6601
ADGRF5-AS1	781
ADGRF5P1	1489
ADGRF5P2	1659
ADGRG1	9011
ADGRG2	10157
ADGRG3	3240
ADGRG4	10076
ADGRG5	5630
ADGRG6	8473
ADGRG7	4079
ADGRL1	8487
ADGRL1-AS1	3219
ADGRL2	24178
ADGRL3	14923
ADGRL3-AS1	947
ADGRL4	5798
ADGRV1	33822
ADH1A	2231
ADH1B	10770
ADH1C	1574
ADH4	2453
ADH5	4866
ADH5P2	1124
ADH5P3	1137
ADH5P4	1110
ADH5P5	352
ADH6	4401
ADH7	2881
ADHFE1	3378
ADI1	5350
ADI1P1	538
ADI1P2	429
ADI1P3	470
ADIG	1033
ADIPOQ	4599
ADIPOQ-AS1	3443
ADIPOR1	3113
ADIPOR1P1	1074
ADIPOR1P2	1154
ADIPOR2	5831
ADIRF	758
ADIRF-AS1	5748
ADK	4658
ADM	2325
ADM-DT	803
ADM2	4289
ADM5	788
ADNP	8482
ADNP-AS1	1049
ADNP2	5657
ADO	3760
ADORA1	4191
ADORA2A	4190
ADORA2A-AS1	4031
ADORA2B	2338
ADORA2BP1	842
ADORA3	2560
ADPGK	6006
ADPGK-AS1	5050
ADPRH	4615
ADPRHL1	11007
ADPRM	1945
ADPRS	1651
ADRA1A	6749
ADRA1B	3147
ADRA1D	3004
ADRA2A	3879
ADRA2B	3696
ADRA2C	2179
ADRB1	3039
ADRB2	2013
ADRB3	2876
ADRM1	2142
ADSL	12109
ADSS1	5732
ADSS2	3441
ADTRP	3947
AEBP1	4971
AEBP2	6768
AEN	5976
AFAP1	10017
AFAP1-AS1	12180
AFAP1L1	6568
AFAP1L2	5873
AFDN	13749
AFDN-DT	4731
AFF1	10953
AFF2	14241
AFF2-IT1	443
AFF3	15701
AFF4	11281
AFF4-DT	395
AFG1L	8353
AFG3L1P	9537
AFG3L2	7133
AFG3L2P1	1763
AFM	2182
AFMID	4008
AFP	3201
AFTPH	6514
AFTPH-DT	1924
AGA	2605
AGA-DT	6016
AGAP1	13947
AGAP1-IT1	746
AGAP10P	2418
AGAP11	1740
AGAP12P	2400
AGAP13P	2061
AGAP14P	2060
AGAP2	7224
AGAP2-AS1	1500
AGAP3	11299
AGAP4	3217
AGAP5	3061
AGAP6	5616
AGAP7P	2062
AGAP9	2387
AGBL1	16503
AGBL1-AS1	2440
AGBL2	5477
AGBL3	7307
AGBL4	7501
AGBL4-AS1	566
AGBL4-IT1	514
AGBL5	5283
AGBL5-AS1	407
AGBL5-IT1	339
AGER	2075
AGFG1	9324
AGFG2	5487
AGGF1	5032
AGGF1P1	2073
AGGF1P10	2191
AGGF1P2	2106
AGGF1P3	1213
AGGF1P4	801
AGGF1P5	919
AGGF1P6	976
AGGF1P7	913
AGGF1P8	1000
AGGF1P9	913
AGK	10697
AGK-DT	2298
AGKP1	1263
AGKP2	1262
AGL	8157
AGMAT	3095
AGMO	3588
AGO1	14043
AGO2	15847
AGO3	21153
AGO4	7423
AGPAT1	3593
AGPAT2	1832
AGPAT3	12315
AGPAT4	14253
AGPAT5	6236
AGPAT5P1	1019
AGPS	15223
AGR2	2764
AGR3	1153
AGRN	10761
AGRP	498
AGT	12703
AGTPBP1	4939
AGTR1	3478
AGTR2	3295
AGTRAP	2435
AGXT	4114
AGXT2	3952
AHCTF1	9579
AHCTF1P1	6821
AHCY	3894
AHCYL1	5035
AHCYL2	6851
AHCYP2	1300
AHCYP3	1279
AHCYP4	1315
AHCYP5	1238
AHCYP7	1308
AHCYP8	209
AHDC1	8297
AHI1	31596
AHI1-DT	16311
AHNAK	19466
AHNAK2	18788
AHR	8051
AHRR	9480
AHSA1	2944
AHSA2P	9083
AHSG	2216
AHSP	526
AICDA	3402
AIDA	4232
AIDAP1	917
AIDAP2	3616
AIDAP3	997
AIF1	1243
AIF1L	5299
AIFM1	13092
AIFM1P1	1841
AIFM2	5135
AIFM3	5260
AIG1	8431
AIG1P1	148
AIM2	6426
AIMP1	9258
AIMP1P1	937
AIMP1P2	312
AIMP2	1828
AIP	2961
AIPL1	3985
AIRE	4678
AIRN	4374
AJAP1	12528
AJM1	4642
AJUBA	5885
AJUBA-DT	1462
AK1	2593
AK2	17967
AK2P2	405
AK3	4395
AK3P2	429
AK3P3	664
AK3P4	583
AK3P5	519
AK4	7578
AK4P1	672
AK4P2	670
AK4P3	2112
AK4P4	646
AK4P5	634
AK4P6	528
AK5	6948
AK6	2140
AK6P1	478
AK6P2	471
AK7	4984
AK8	2731
AK9	10099
AKAIN1	3117
AKAP1	5340
AKAP1-DT	2008
AKAP10	4839
AKAP11	9915
AKAP12	8775
AKAP13	20280
AKAP13-AS1	660
AKAP14	1170
AKAP17A	4070
AKAP17BP	2719
AKAP3	3672
AKAP4	3027
AKAP5	7512
AKAP6	19726
AKAP7	4593
AKAP8	6299
AKAP8L	8576
AKAP8P1	1349
AKAP9	26515
AKIP1	2300
AKIRIN1	2688
AKIRIN1P1	544
AKIRIN1P2	570
AKIRIN2	2235
AKIRIN2P1	352
AKNA	10601
AKNAD1	5039
AKR1A1	3121
AKR1B1	3654
AKR1B10	1773
AKR1B10P1	942
AKR1B10P2	927
AKR1B15	3351
AKR1B1P1	956
AKR1B1P2	934
AKR1B1P3	588
AKR1B1P4	922
AKR1B1P5	934
AKR1B1P6	839
AKR1B1P7	952
AKR1B1P8	936
AKR1C1	8765
AKR1C2	6086
AKR1C3	3911
AKR1C4	1914
AKR1C5P	609
AKR1C6P	983
AKR1C7P	1833
AKR1C8	2555
AKR1D1	3412
AKR1D1P1	936
AKR1E2	2417
AKR7A2	1779
AKR7A2P1	915
AKR7A2P2	959
AKR7A3	1215
AKR7L	2768
AKT1	10955
AKT1S1	5737
AKT2	15902
AKT3	16643
AKT3-IT1	517
AKTIP	5195
ALAD	4945
ALAS1	2536
ALAS2	2047
ALB	3431
ALCAM	7179
ALDH16A1	4589
ALDH18A1	3759
ALDH1A1	2840
ALDH1A2	8127
ALDH1A2-AS1	874
ALDH1A3	5335
ALDH1A3-AS1	7758
ALDH1B1	3117
ALDH1L1	13712
ALDH1L1-AS1	437
ALDH1L1-AS2	2772
ALDH1L2	9493
ALDH2	9723
ALDH3A1	3878
ALDH3A2	15331
ALDH3B1	6622
ALDH3B2	3607
ALDH4A1	3632
ALDH5A1	7563
ALDH6A1	6682
ALDH7A1	17914
ALDH7A1P1	1533
ALDH7A1P2	621
ALDH7A1P3	345
ALDH7A1P4	178
ALDH8A1	2858
ALDH9A1	3007
ALDOA	3829
ALDOAP1	1078
ALDOAP2	1076
ALDOB	3904
ALDOC	2612
ALG1	10637
ALG10	4202
ALG10B	11258
ALG11	15689
ALG12	5330
ALG13	8188
ALG13-AS1	195
ALG14	9641
ALG14-AS1	1096
ALG1L	2190
ALG1L10P	430
ALG1L11P	450
ALG1L12P	434
ALG1L13P	4247
ALG1L14P	434
ALG1L15P	794
ALG1L2	1538
ALG1L3P	765
ALG1L5P	771
ALG1L6P	758
ALG1L7P	768
ALG1L8P	760
ALG1L9P	9672
ALG2	2970
ALG3	3455
ALG3P1	1114
ALG5	13831
ALG6	5487
ALG8	9465
ALG9	8070
ALG9-IT1	684
ALK	7382
ALKAL1	1140
ALKAL2	1986
ALKBH1	2847
ALKBH2	2290
ALKBH3	2380
ALKBH3-AS1	2337
ALKBH4	2299
ALKBH5	3601
ALKBH6	4293
ALKBH7	1093
ALKBH8	4501
ALLC	2537
ALMS1	22670
ALMS1-IT1	2105
ALMS1P1	4690
ALOX12	2650
ALOX12-AS1	6473
ALOX12B	2746
ALOX12P1	1229
ALOX12P2	5762
ALOX15	3387
ALOX15B	3011
ALOX15P1	4151
ALOX15P2	1897
ALOX5	3728
ALOX5AP	1680
ALOXE3	3761
ALOXE3P1	1305
ALPG	2492
ALPI	3351
ALPK1	12326
ALPK2	9565
ALPK3	10261
ALPL	2980
ALPP	2869
ALS2	33513
ALS2CL	9059
ALX1	1332
ALX3	1976
ALX4	5727
ALYREF	1583
AMACR	4335
AMBN	2005
AMBP	1897
AMBRA1	7673
AMD1	10193
AMD1P1	922
AMD1P2	992
AMD1P3	994
AMD1P4	1345
AMDHD1	2652
AMDHD2	4366
AMELX	835
AMELY	968
AMER1	8407
AMER2	10610
AMER3	6438
AMFR	5765
AMH	2587
AMHR2	3656
AMIGO1	5141
AMIGO2	3964
AMIGO3	2856
AMMECR1	6804
AMMECR1-IT1	561
AMMECR1L	5413
AMMECR1LP1	841
AMN	4289
AMN1	3137
AMOT	8518
AMOTL1	10030
AMOTL2	6479
AMPD1	3082
AMPD2	9301
AMPD3	6849
AMPH	5489
AMT	5675
AMTN	1009
AMY1A	2035
AMY1B	2035
AMY1C	2074
AMY2A	1599
AMY2B	7491
AMYP1	1023
AMZ1	10165
AMZ2	5164
AMZ2P1	4242
AMZ2P2	1057
AMZ2P3	548
ANAPC1	13984
ANAPC10	4522
ANAPC10P1	556
ANAPC11	4027
ANAPC13	2356
ANAPC15	2883
ANAPC15P1	395
ANAPC15P2	344
ANAPC16	4324
ANAPC1P1	2553
ANAPC1P2	2217
ANAPC1P3	312
ANAPC1P4	2070
ANAPC1P5	601
ANAPC1P6	831
ANAPC2	5458
ANAPC4	7444
ANAPC5	12259
ANAPC7	6009
ANG	1439
ANGEL1	6525
ANGEL2	7317
ANGPT1	7128
ANGPT2	6794
ANGPT4	4692
ANGPTL1	3598
ANGPTL2	3625
ANGPTL3	3371
ANGPTL4	2475
ANGPTL5	2368
ANGPTL6	2063
ANGPTL7	2224
ANGPTL8	1223
ANHX	2145
ANK1	10797
ANK2	55130
ANK2-AS1	3435
ANK3	25783
ANK3-DT	434
ANKAR	5758
ANKDD1A	5005
ANKDD1B	3710
ANKEF1	5869
ANKFN1	13047
ANKFY1	14224
ANKH	12695
ANKH-DT	382
ANKHD1	11124
ANKHD1-DT	1589
ANKHD1-EIF4EBP3	11385
ANKIB1	7389
ANKK1	2608
ANKLE1	3569
ANKLE2	17461
ANKMY1	11613
ANKMY2	2851
ANKRA2	2785
ANKRD1	1790
ANKRD10	4563
ANKRD10-IT1	800
ANKRD11	19527
ANKRD11P1	6848
ANKRD11P2	988
ANKRD12	12248
ANKRD13A	7350
ANKRD13B	4307
ANKRD13C	6184
ANKRD13D	5890
ANKRD16	3060
ANKRD17	12041
ANKRD17-DT	685
ANKRD18A	9732
ANKRD18B	7776
ANKRD18CP	2980
ANKRD18DP	3978
ANKRD18EP	2632
ANKRD19P	2500
ANKRD2	1451
ANKRD20A1	7230
ANKRD20A10P	1515
ANKRD20A11P	4842
ANKRD20A17P	1330
ANKRD20A18P	492
ANKRD20A19P	2796
ANKRD20A21P	3728
ANKRD20A2P	5419
ANKRD20A3P	7393
ANKRD20A4P	5904
ANKRD20A5P	6302
ANKRD20A6P	204
ANKRD20A7P	8459
ANKRD20A8P	8020
ANKRD20A9P	2978
ANKRD22	3995
ANKRD23	4103
ANKRD24	4522
ANKRD26	13564
ANKRD26P1	6411
ANKRD26P2	1710
ANKRD26P3	4469
ANKRD26P4	950
ANKRD27	7849
ANKRD28	11276
ANKRD29	6417
ANKRD30A	5284
ANKRD30B	6785
ANKRD30BL	4947
ANKRD30BP1	2186
ANKRD30BP2	5110
ANKRD30BP3	1070
ANKRD31	6526
ANKRD33	3719
ANKRD33B	10043
ANKRD33B-AS1	522
ANKRD34A	3671
ANKRD34B	3816
ANKRD34C	5506
ANKRD34C-AS1	12229
ANKRD35	3363
ANKRD36	10670
ANKRD36B	6500
ANKRD36BP1	1779
ANKRD36BP2	8534
ANKRD36C	10048
ANKRD36P1	659
ANKRD37	2253
ANKRD39	5246
ANKRD40	4831
ANKRD40CL	3663
ANKRD42	6751
ANKRD42-DT	3418
ANKRD44	12826
ANKRD44-AS1	522
ANKRD44-DT	452
ANKRD44-IT1	1069
ANKRD45	4125
ANKRD46	5820
ANKRD49	3171
ANKRD49P1	714
ANKRD49P2	533
ANKRD49P3	715
ANKRD49P4	713
ANKRD50	8798
ANKRD52	11096
ANKRD53	2526
ANKRD54	4390
ANKRD54P1	471
ANKRD55	2948
ANKRD6	8347
ANKRD60	3407
ANKRD61	1423
ANKRD62	4837
ANKRD62P1	1623
ANKRD62P1-PARP4P3	1181
ANKRD63	4693
ANKRD65	2644
ANKRD65-AS1	543
ANKRD66	3676
ANKRD7	3032
ANKRD9	7208
ANKS1A	9967
ANKS1B	11335
ANKS3	7868
ANKS4B	4323
ANKS6	8862
ANKUB1	6544
ANKZF1	6103
ANLN	5997
ANO1	6268
ANO1-AS1	646
ANO10	5285
ANO2	6064
ANO3	7795
ANO3-AS1	1412
ANO4	4997
ANO5	19477
ANO6	8816
ANO7	6294
ANO7L1	2484
ANO8	5005
ANO9	6207
ANOS1	7082
ANOS2P	4420
ANP32A	7544
ANP32AP1	1074
ANP32B	1870
ANP32BP1	1297
ANP32BP2	545
ANP32BP3	706
ANP32C	705
ANP32D	1064
ANP32E	3605
ANPEP	5046
ANTKMT	1912
ANTXR1	17891
ANTXR2	10149
ANTXRL	3101
ANTXRLP1	1829
ANXA1	4453
ANXA10	1836
ANXA11	8513
ANXA13	3801
ANXA2	11574
ANXA2P1	926
ANXA2P2	1020
ANXA2P3	1008
ANXA2R	2234
ANXA2R-AS1	6382
ANXA2R-OT1	6378
ANXA3	4895
ANXA4	11060
ANXA5	2925
ANXA6	5508
ANXA7	2862
ANXA8	4955
ANXA8L1	2860
ANXA9	1594
AOAH	3518
AOAH-IT1	573
AOC1	3786
AOC2	2677
AOC3	4524
AOC4P	3187
AOPEP	10685
AOX1	5410
AOX2P	3835
AOX3P	4363
AOX3P-AOX2P	1218
AP1AR	6504
AP1AR-DT	2036
AP1B1	6555
AP1B1P1	827
AP1B1P2	106
AP1G1	10980
AP1G2	6897
AP1G2-AS1	3243
AP1M1	14094
AP1M2	2214
AP1M2P1	968
AP1S1	1699
AP1S2	5428
AP1S2P1	379
AP1S3	9717
AP2A1	8714
AP2A2	14593
AP2B1	7591
AP2B1P1	2796
AP2M1	6709
AP2S1	1558
AP3B1	18187
AP3B2	14432
AP3D1	9317
AP3M1	5691
AP3M2	6276
AP3S1	2929
AP3S2	9237
AP4B1	5847
AP4B1-AS1	1734
AP4E1	7354
AP4M1	4722
AP4S1	10076
AP5B1	6980
AP5M1	13019
AP5S1	5491
AP5Z1	8398
APAF1	7759
APBA1	11644
APBA2	6869
APBA3	5596
APBB1	5199
APBB1IP	3843
APBB2	12956
APBB3	3609
APC	12440
APC2	12635
APCDD1	5937
APCDD1L	4210
APCDD1L-DT	6646
APCS	925
APEH	4425
APELA	2919
APEX1	1886
APEX2	3239
APH1A	3473
APH1B	5443
API5	4651
API5P1	1510
API5P2	1498
APIP	5217
APLF	7124
APLN	3224
APLNR	3674
APLP1	3539
APLP2	7463
APMAP	2226
APOA1	1096
APOA1-AS	1005
APOA2	945
APOA4	1471
APOA5	2019
APOB	14828
APOBEC1	894
APOBEC2	1633
APOBEC3A	2359
APOBEC3AP1	287
APOBEC3B	1896
APOBEC3B-AS1	691
APOBEC3C	2644
APOBEC3D	2529
APOBEC3F	5215
APOBEC3G	5375
APOBEC3H	1251
APOBEC4	2782
APOBR	3792
APOC1	1178
APOC1P1	1063
APOC2	1263
APOC3	851
APOC4	742
APOC4-APOC2	1829
APOD	2022
APOE	2154
APOF	1750
APOH	1332
APOL1	3458
APOL2	3417
APOL3	5905
APOL4	4420
APOL5	1438
APOL6	10065
APOLD1	7191
APOM	1237
APONP	514
APOO	2357
APOOL	6480
APOOP1	592
APOOP2	539
APOOP3	586
APOOP4	597
APOOP5	1307
APP	6316
APP-DT	4245
APPBP2	9890
APPBP2-DT	1411
APPL1	7516
APPL2	5088
APRG1	8964
APRT	1796
APTR	5939
APTX	15614
AQP1	3261
AQP10	2292
AQP11	2125
AQP12A	1685
AQP12B	3303
AQP2	4306
AQP3	2911
AQP4	5943
AQP4-AS1	11044
AQP5	1884
AQP5-AS1	1574
AQP6	5129
AQP7	5253
AQP7B	4858
AQP7P1	1045
AQP7P2	1041
AQP7P3	1041
AQP7P4	1042
AQP7P5	1049
AQP8	1387
AQP9	3235
AQR	13431
AR	12818
ARAF	3409
ARAFP1	605
ARAFP2	559
ARAFP3	490
ARAP1	9061
ARAP1-AS1	388
ARAP1-AS2	1824
ARAP2	12427
ARAP3	6195
ARC	2993
ARCN1	4177
AREG	1642
AREL1	7805
ARF1	3232
ARF1P1	544
ARF1P2	538
ARF1P3	511
ARF3	4938
ARF4	2595
ARF4-AS1	884
ARF4P1	541
ARF4P2	526
ARF4P3	509
ARF4P4	520
ARF5	1825
ARF6	3976
ARFGAP1	6610
ARFGAP2	5918
ARFGAP3	3273
ARFGEF1	11059
ARFGEF1-DT	1113
ARFGEF2	12446
ARFGEF3	14859
ARFIP1	4269
ARFIP2	5312
ARFRP1	7627
ARG1	2219
ARG2	2284
ARGFX	5047
ARGFXP1	961
ARGFXP2	949
ARGLU1	5783
ARHGAP1	6142
ARHGAP10	10755
ARHGAP11A	6406
ARHGAP11A-SCG5	3763
ARHGAP11B	4544
ARHGAP11B-DT	970
ARHGAP12	5944
ARHGAP15	6127
ARHGAP15-AS1	1284
ARHGAP16P	1548
ARHGAP17	9903
ARHGAP18	4592
ARHGAP19	6167
ARHGAP19-SLIT1	4089
ARHGAP20	7139
ARHGAP21	11156
ARHGAP22	6776
ARHGAP22-IT1	470
ARHGAP23	8080
ARHGAP23P1	2080
ARHGAP24	7870
ARHGAP25	5476
ARHGAP26	17158
ARHGAP26-AS1	990
ARHGAP26-IT1	388
ARHGAP27	10426
ARHGAP27P1-BPTFP1-KPNA2P3	3038
ARHGAP27P2	676
ARHGAP28	11912
ARHGAP28-AS1	491
ARHGAP29	18370
ARHGAP29-AS1	4125
ARHGAP30	5064
ARHGAP31	9374
ARHGAP31-AS1	624
ARHGAP32	12968
ARHGAP33	5260
ARHGAP35	17353
ARHGAP36	3071
ARHGAP39	5049
ARHGAP4	5580
ARHGAP40	3321
ARHGAP42	9313
ARHGAP42-AS1	1865
ARHGAP42P1	1976
ARHGAP42P2	2140
ARHGAP42P3	2508
ARHGAP42P4	2934
ARHGAP42P5	2936
ARHGAP44	9322
ARHGAP44-AS1	3679
ARHGAP45	6237
ARHGAP5	10887
ARHGAP5-AS1	1848
ARHGAP6	8893
ARHGAP8	4990
ARHGAP9	5118
ARHGDIA	2875
ARHGDIB	2042
ARHGDIG	1848
ARHGEF1	8624
ARHGEF10	10842
ARHGEF10L	7954
